,pollster:id,middle_date,choice:id,value,week_label
75,Kantar,2017-11-14,STAN,0.055,W46/17
76,Kantar,2017-11-14,TOP 09,0.05,W46/17
77,Kantar,2017-11-14,Zelení,0.03,W46/17
78,Kantar,2018-02-13,ANO,0.33,W07/18
79,Kantar,2018-02-13,ODS,0.12,W07/18
80,Kantar,2018-02-13,Piráti,0.125,W07/18
81,Kantar,2018-02-13,KSČM,0.065,W07/18
82,Kantar,2018-02-13,SPD,0.085,W07/18
83,Kantar,2018-02-13,ČSSD,0.075,W07/18
84,Kantar,2018-02-13,KDU-ČSL,0.05,W07/18
85,Kantar,2018-02-13,STAN,0.045,W07/18
86,Kantar,2018-02-13,TOP 09,0.045,W07/18
87,STEM,2018-02-04,ANO,0.325,W05/18
88,STEM,2018-02-04,ODS,0.11,W05/18
89,STEM,2018-02-04,Piráti,0.13,W05/18
90,STEM,2018-02-04,KSČM,0.09,W05/18
91,STEM,2018-02-04,SPD,0.095,W05/18
92,STEM,2018-02-04,ČSSD,0.07,W05/18
93,STEM,2018-02-04,KDU-ČSL,0.05,W05/18
94,STEM,2018-02-04,STAN,0.04,W05/18
95,STEM,2018-02-04,TOP 09,0.05,W05/18
96,STEM,2018-02-04,Zelení,0.01,W05/18
97,STEM,2018-04-24,ANO,0.32899999999999996,W17/18
98,STEM,2018-04-24,ODS,0.13699999999999998,W17/18
99,STEM,2018-04-24,Piráti,0.135,W17/18
100,STEM,2018-04-24,KSČM,0.085,W17/18
101,STEM,2018-04-24,SPD,0.09,W17/18
102,STEM,2018-04-24,ČSSD,0.07,W17/18
103,STEM,2018-04-24,KDU-ČSL,0.054000000000000006,W17/18
104,STEM,2018-04-24,STAN,0.039,W17/18
105,STEM,2018-04-24,TOP 09,0.039,W17/18
106,STEM,2018-04-24,Zelení,0.008,W17/18
107,CVVM,2018-05-18,ANO,0.29,W20/18
108,CVVM,2018-05-18,ČSSD,0.13,W20/18
109,CVVM,2018-05-18,KSČM,0.105,W20/18
110,CVVM,2018-05-18,ODS,0.13,W20/18
111,CVVM,2018-05-18,TOP 09,0.03,W20/18
112,CVVM,2018-05-18,KDU-ČSL,0.055,W20/18
113,CVVM,2018-05-18,Piráti,0.11,W20/18
114,CVVM,2018-05-18,SPD,0.075,W20/18
115,CVVM,2018-05-18,STAN,0.045,W20/18
116,CVVM,2018-05-18,Zelení,0.01,W20/18
117,Kantar,2018-05-22,ANO,0.27,W21/18
118,Kantar,2018-05-22,ODS,0.16,W21/18
119,Kantar,2018-05-22,Piráti,0.145,W21/18
120,Kantar,2018-05-22,KSČM,0.075,W21/18
121,Kantar,2018-05-22,SPD,0.09,W21/18
122,Kantar,2018-05-22,ČSSD,0.07,W21/18
123,Kantar,2018-05-22,KDU-ČSL,0.04,W21/18
124,Kantar,2018-05-22,STAN,0.055,W21/18
125,Kantar,2018-05-22,TOP 09,0.05,W21/18
126,Median,2018-06-10,ANO,0.315,W23/18
127,Median,2018-06-10,ODS,0.125,W23/18
128,Median,2018-06-10,Piráti,0.115,W23/18
129,Median,2018-06-10,SPD,0.085,W23/18
130,Median,2018-06-10,KSČM,0.08,W23/18
131,Median,2018-06-10,ČSSD,0.09,W23/18
132,Median,2018-06-10,TOP 09,0.06,W23/18
133,Median,2018-06-10,KDU-ČSL,0.045,W23/18
134,Median,2018-06-10,STAN,0.04,W23/18
135,Median,2018-06-10,Zelení,0.02,W23/18
136,Kantar,2018-06-12,ANO,0.285,W24/18
137,Kantar,2018-06-12,ODS,0.155,W24/18
138,Kantar,2018-06-12,Piráti,0.12,W24/18
139,Kantar,2018-06-12,KSČM,0.07,W24/18
140,Kantar,2018-06-12,SPD,0.095,W24/18
141,Kantar,2018-06-12,ČSSD,0.08,W24/18
142,Kantar,2018-06-12,KDU-ČSL,0.05,W24/18
143,Kantar,2018-06-12,STAN,0.055,W24/18
144,Kantar,2018-06-12,TOP 09,0.035,W24/18
145,Kantar,2018-06-12,Zelení,0.02,W24/18
146,Kantar,2018-03-19,ANO,0.295,W12/18
