,identifier,pollster:id,link,start_date,end_date,published_date,population,sponsor,method,n,area,done_by_x,notes_x,middle_date,,question:identifier,poll:identifier,choice:id,topic_id,value_x,done_by_y,notes_y,start_date_date,end_date_date,middle_date_date_x,middle_date_date_y,value_y
27,2021-02,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_02_FINAL_v03-3.pdf,2021-02-01,2021-03-02,2021-03-04,,,,1048,ČR,Michal Škop,,2021-02-15,,model,2021-02,ČSSD,model psp,0.045,Michal Škop,,2021-02-01,2021-03-02,2021-02-15,2021-02-15,0.04948071776777046
28,2021-02,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_02_FINAL_v03-3.pdf,2021-02-01,2021-03-02,2021-03-04,,,,1048,ČR,Michal Škop,,2021-02-15,,model,2021-02,KSČM,model psp,0.08,Michal Škop,,2021-02-01,2021-03-02,2021-02-15,2021-02-15,0.05394026682723384
29,2021-02,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_02_FINAL_v03-3.pdf,2021-02-01,2021-03-02,2021-03-04,,,,1048,ČR,Michal Škop,,2021-02-15,,model,2021-02,Trikolóra,model psp,0.025,Michal Škop,,2021-02-01,2021-03-02,2021-02-15,2021-02-15,0.029198558268570037
30,2021-02,Median,https://www.median.eu/cs/wp-content/uploads/2021/03/Volby_2021_02_FINAL_v03-3.pdf,2021-02-01,2021-03-02,2021-03-04,,,,1048,ČR,Michal Škop,,2021-02-15,,model,2021-02,Zelení,model psp,0.015,Michal Škop,,2021-02-01,2021-03-02,2021-02-15,2021-02-15,0.014816740670951135
31,2021-02,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,,2021-02-24,,model,2021-02,ANO,model psp,0.205,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.23936805134827385
32,2021-02,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,,2021-02-24,,model,2021-02,ODS,model psp,0.095,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.10061693150806042
33,2021-02,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,,2021-02-24,,model,2021-02,Piráti,model psp,0.22,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.1950282245298293
34,2021-02,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,,2021-02-24,,model,2021-02,KSČM,model psp,0.05,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.053698721072367395
35,2021-02,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,,2021-02-24,,model,2021-02,SPD,model psp,0.105,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.10929275545288189
36,2021-02,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2543796-trendy_ceska_2021_vlna_67_model.pdf,2021-02-15,2021-03-05,2021-03-14,,ČT,,1200,ČR,Michal Škop,,2021-02-24,,model,2021-02,ČSSD,model psp,0.045,Michal Škop,,2021-02-15,2021-03-05,2021-02-24,2021-02-24,0.04900921049558475
